eid,doi,year,authors,first_author,title,journal,issn,eissn,volume,pages,citedby,openaccess,authkeywords,abstract,ajg2024,ajg_field
2-s2.0-105041260724,10.1016/j.tourman.2026.105470,2026,Agag G.; Al Zaabi A.; Eid R.,Agag G.,"Investing in intelligence: AI human capital, wage inequality, and firm value in tourism, travel and hospitality",Tourism Management,02615177,18793193,117,,0,1,Artificial intelligence | Firm value | Human capital investment | Industry environment | Wage inequality,"Grounded in resource-based view and tournament theory, this study examines how AI human capital (AIHC) is associated with wage inequality and firm value in tourism, travel, and hospitality (TTH). Using an unbalanced panel of 1206 UK listed TTH firms comprising 7539 firm year observations from 2018 to 2024, we estimate internal instrument two step system GMM models with Windmeijer corrected standard errors. Findings indicate that AIHC is positively associated with firm value, negatively associated with wage inequality, and that wage inequality is negatively associated with firm value. Mediation analyses suggest that wage inequality partially channels the AIHC and firm value association. Moderation analyses show stronger AIHC and firm value associations in more dynamic and complex industries, whereas munificence shows no systematic moderating effect. Sectoral analyses reveal stronger value associations in travel and stronger inequality compression associations in hospitality. The study highlights workforce centered pathways for AI enabled competitive advantage.",4,SECTOR
2-s2.0-105029297922,10.1186/s40854-025-00852-2,2026,Ma B.; Zhou L.; Mu Y.; Chen Y.; Zhang J.,Ma B.,Impact of CEO perceived dominance on corporate financial performance: an empirical study based on facial feature extraction via deep learning,Financial Innovation,,21994730,12,,0,1,CEO perceived dominance | Corporate financial performance | Deep learning | Facial feature extraction | Information flow and sharing,"Perceived dominance, which can be formed on the basis of the facial features of a chief executive officer (CEO), can affect the behavior of other firm members (i.e., other executives and subordinates) and impact corporate outcomes. However, a consensus has yet to be reached on the association between CEO perceived dominance and corporate financial performance owing to limitations in sample representativeness, measurement errors, and empirical strategies of previous studies. This study investigates the impact of CEO perceived dominance on corporate financial performance through facial feature extraction via deep learning, which can provide robust and causal insights from a large dataset spanning a long time period of 30 years. Furthermore, this study explores the mechanism of the impact of CEO perceived dominance from the perspective of information flow and sharing by investigating the moderating effects of CEOs’ nonsalary compensation, board size, and the number of business segments. The results indicate that the degree of CEO perceived dominance is negatively associated with corporate financial performance and that a CEO’s high nonsalary compensation, large board size, and large number of business segments can attenuate the negative association. Our findings can deepen the theoretical understanding of the impact of CEO perceived dominance on corporate financial performance and provide managerial implications for the decision-making of investors.",2,FINANCE
2-s2.0-105043565186,10.1016/j.ijinfomgt.2026.103097,2026,Arshad F.M.; Anderson S.W.; Dekker H.; Aguilar O.,Arshad F.M.,Making business processes intelligent: Complementarities of combining robotic process automation and AI technologies,International Journal of Information Management,02684012,,91,,0,1,Artificial intelligence (AI) | Cost reduction | Firm performance | Pre-Generative-AI era | Revenue growth | Robotic process automation (RPA),"This study examines the firms’ combined implementation of Robotic Process Automation (RPA) and Artificial Intelligence (AI) and its association with firm performance using two survey datasets covering large firms worldwide. RPA automates repetitive tasks whereas AI supports cognitive tasks. While previous research typically examines these technologies separately, we draw on complementarity theory to hypothesize that their joint implementation is associated with performance outcomes that exceed the independent benefits of each technology. We find that joint implementation is positively associated with additional revenue growth (linked primarily to price increases) but is not associated with additional cost reduction beyond the separate effects of RPA and AI. These findings challenge the prevailing view that combining RPA and AI technologies primarily enhances performance through increased efficiency, suggesting instead that joint implementation is associated with revenue enhancement. We also consider firms’ strategic intent for adopting these technologies and find that among firms implementing both RPA and AI, a stronger revenue growth intent is associated with greater revenue-related outcomes. Our findings provide a baseline analysis of automation complementarities in the pre-Generative-AI era, even as advancements in technology continue and raise new questions.",2,INFO MAN
2-s2.0-105035900730,10.1057/s41599-026-06689-z,2026,Lu T.,Lu T.,Navigating foundational uncertainty: a dynamic-adaptive model of enterprise digital transformation in the age of generative AI,Humanities and Social Sciences Communications,,26629992,13,,0,1,,"The advent of Generative AI (Gen-AI) has precipitated an epistemological crisis in strategic management, challenging the foundational assumptions of enterprise digital transformation. Traditional frameworks, operating under a “Paradigm of Rational Mastery”, view technology as a predictable, manageable tool. This paper argues that the unique technical characteristics of Gen-AI—specifically its “Emergent Abilities” and “Black-Box Nature”—have given rise to a novel strategic condition termed “Foundational Uncertainty”, rendering these established models obsolete. This study critiques the prevalent “Two-Layer Model” of digital transformation, which is predicated on predictable technological advancement and planned “enablement”. In its place, this paper develops and proposes a “Dynamic-Adaptive Model” designed for the Gen-AI era. This new model reconceptualizes the firm-technology relationship as a co-evolutionary process. It posits that firms must shift from planned implementation to continuous “Adaptive Sensemaking”, an action-driven process of experimentation and learning to navigate the technology’s unpredictability. At the enterprise level, strategy must become an “Evolutionary Process” that emerges from this learning. The model’s central mechanism is a cyclical interplay of “Contention & Adaptation”—a generative tension between top-down managerial control (exploitation) and bottom-up, technology-driven learning (exploration) that propels organizational evolution. Consequently, the source of sustained competitive advantage shifts from possessing static, inimitable (VRIN) resources to cultivating a higher-order “Dynamic Adaptive Capability”—the organizational meta-capability for reconfiguring its own learning processes to thrive amidst unknowable change. The paper concludes by outlining the model’s significant theoretical contributions to the literature on digital transformation, Dynamic Capabilities, and the Resource-Based View, providing a new framework for navigating the Gen-AI frontier.",,
2-s2.0-105041310643,10.1016/j.jsinno.2026.200576,2026,Xu M.; Zhang W.; Gupta S.; Huang J.,Xu M.,The art of the successful dance: The investigation of AI adoption on firm performance,Journal of Strategy and Innovation,3050791X,30507901,37,,0,1,AI adoption | Artificial intelligence | Firm performance | Market power | Social policy,"With the global technological developments in the past decades, AI has been widely adopted in firms' business and marketing strategies, aiming to create more positive outcomes. While most of the extant literature studying a firm's performance outcomes focuses on a single factor (e.g., salespeople and supply chain productivity), there is a lack of research examining the AI's impacts on the total changes in a firm's production efficiency from multi-factor inputs and the changes in the overall customer base, instead of individual customers' experience. Accordingly, this paper aims to understand the impacts of AI adoption on the overall business performance from the perspectives of firms, employees, and customers, and explore the moderating effect of a firm's market power and external AI policy. It conducts interdisciplinary research, using a mixed-method approach, with a combination of 2852 Chinese listed firms' data spanning from 2010 to 2022 and semi-structured interviews with 5 board-level directors in Chinese listed firms. The results reveal the impacts of AI adoption on the increase of total firm productivity, positive change in employment, and reduced customer concentration. The moderation effects of a firm's market power and AI policy are confirmed for these impacts. It encourages future studies to investigate AI adoption in different business environments from the firm, employee, and customer perspectives.",,
2-s2.0-105044180779,10.1016/j.jbusres.2026.116413,2026,Wu Y.; Long Y.; Xie C.; Bi J.,Wu Y.,How AI matters for competitive advantage: a managerial cognition perspective on managing the triple role of AI and dynamic capabilities,Journal of Business Research,01482963,,216,,0,0,Artificial intelligence | Competitive advantage | Dynamic capabilities | Managerial cognition,"Artificial intelligence presents a perplexing organizational paradox: identical technical inputs frequently yield divergent strategic outcomes, ranging from fleeting efficiency gains to sustained competitive advantages. This study argues that this variance stems not from technical attributes but from managerial cognition—the interpretive framework governing how AI is enacted. This study adopts a social construction perspective and identifies three distinct cognition types based on how managers perceive AI’s value and agency: tool-based, actor-based, and strategic resource-based. It posits that these types serve as micro-foundational elements for distinct cognitive configurations (single, dual, and triple), which delimit the hierarchical layer of dynamic capabilities (basic, combined, or integrative) a firm can activate. The analysis demonstrates that triple-role configurations resolve the flexibility–stability paradox by enabling cognitive switching, which secures sustained strategic advantages. The findings offer practical guidance for managers to align cognitive configurations with strategic imperatives and navigate AI transformation.",3,ETHICS-CSR-MAN
2-s2.0-105043466099,10.1016/j.jsinno.2026.200589,2026,Shah S.M.A.; Cucculelli M.,Shah S.M.A.,Artificial Intelligence and firm strategies: A pathway to enhanced productivity,Journal of Strategy and Innovation,3050791X,30507901,37,,0,1,Artificial intelligence (AI) | Corporate websites data | Customer centricity | Environmental sustainability | Firm productivity | Human skills | International market expansion | Strategic goals,"This study examines the strategic impact of artificial intelligence (AI) on firm productivity, with a focus on how different strategic goals – customer centricity, international market expansion, and environmental sustainability - interact with AI adoption. We combine professional skills data from LinkedIn with information on innovation activities and strategic objectives collected from company websites for a sample of 1800 manufacturing firms. Using an augmented Cobb–Douglas production function and a two-stage estimation approach, our analysis shows that firms with higher levels of AI intensity tend to exhibit higher production efficiency. However, firms emphasizing customer centricity tend to be less productive, while firms combining higher AI intensity with an international market orientation tend to exhibit higher productivity. By contrast, we find no statistically significant link between AI use and productivity when the strategic goal is environmental sustainability. Overall, the study fills a gap in understanding the role of AI in shaping firm productivity across different strategic orientations, offering valuable insights for optimizing AI intensity and aligning it with strategic planning.",,
2-s2.0-105043497908,10.1016/j.techsoc.2026.103434,2026,Liu Z.; Weng Z.; Yu S.,Liu Z.,AI-enabled innovation and firm growth in the Asia–Pacific region: Multilevel and experimental evidence on regulatory climate,Technology in Society,0160791X,,88,,0,0,AI-enabled innovation | Digital transformation | Economic growth | experimental vignette | Firm productivity | Institutional theory | Moderated mediation | Multilevel modeling | Regulatory climate,"The present research investigates how AI-enabled innovation translates into firm productivity and economic growth under varying regulatory conditions. The primary goal of this study is to explain when and how firms are able to convert AI-enabled innovation into measurable productivity gains and sustained growth, and under which regulatory environments these effects are strengthened or constrained. Drawing on institutional and contingency perspectives, two complementary studies are conducted to test a moderated mediation model. Study 1 employs multilevel survey data from 420 firms across multiple regions, analyzed using hierarchical linear modeling. Results suggest that AI-enabled innovation is associated with firm growth both directly and indirectly through productivity gains, with the strength of the innovation–productivity link contingent on the regional regulatory climate. Study 2 adopts an experimental vignette design with 360 managerial participants to provide causal evidence. Regulatory clarity and supportive enforcement are manipulated, and results indicate that clear and supportive environments are associated with higher levels of intended AI investment, productivity expectations, deployment speed, and growth projections. Mediation analyses confirm that productivity expectations transmit the effects of regulatory conditions to growth, and moderated mediation findings reveal that the productivity pathway is strongest when both clarity and supportiveness are present. Together, these studies provide convergent evidence that institutional environments may amplify the benefits of AI adoption, offering actionable implications for innovation and regulatory policy by showing that environmental policies emphasizing regulatory clarity, consistent enforcement, and experimentation-friendly frameworks are likely to play an important role in enabling firms to translate AI investments into productivity improvements and economic growth.",2,SOC SCI
2-s2.0-105039625934,10.1016/j.techfore.2026.124704,2026,Tarczyńska-Łuniewska M.; Noja G.G.; Țăran A.M.; Niemcewicz P.; Stankevičienė J.,Tarczyńska-Łuniewska M.,"Technological innovation, AI and digital transformation inferences on company performance and business models",Technological Forecasting and Social Change,00401625,,230,,0,0,Business models | Digital transformation | Econometric modelling | Firm investment | Performance | Technological innovation,"This study examines how technological innovation and digital transformation influence firms' performance and the evolution of their business models. It addresses three core questions: (1) whether the degree of digitalisation and investment in technological innovation improve operational and financial outcomes; (2) how the business environment interacts with digitalisation to shape business model transformation; and (3) which technological and digital factors best predict changes in business models. Rapid technological advancement and the growing importance of digital tools have intensified the need for evidence on how digital transformation contributes to competitiveness and efficiency, yet empirical understanding remains limited. A mixed-methods approach is employed, combining a systematic and bibliometric literature review with an empirical analysis based on a complex dataset extracted from the European Innovation Scoreboard at the level of EU-27 countries from 2017 to 2024. The methodological endeavour embeds robust regression models using Huber and weighted iterations, and quantile-on-quantile regression models based on simultaneous quantile regression, alongside network analysis based on Gaussian graphical models estimated using the Extended Bayesian Information Criterion and partial correlations. The findings demonstrate that technological innovation and digitalisation exert a significant positive effect on company performance, reflected in higher operational efficiency and stronger financial indicators. The results also show that digital transformation is closely linked to business model modification, with digital capabilities and technological investments emerging as key predictors of structural change.",3,INNOV
2-s2.0-105036587083,10.1016/j.ijis.2026.02.002,2026,Cheng Q.; Wan H.; Lu Y.; Wang L.; Cao W.,Cheng Q.,The impact of co-intelligence on digital innovation: A perspective based on knowledge digitization and human-AI collaborative knowledge innovation,International Journal of Innovation Studies,20962487,25892975,10,,0,1,Co-intelligence | Digital innovation | Human-AI collaborative knowledge innovation | Knowledge digitization,"Amidst the new wave of technological revolution and industrial transformation, collaboration between humans and artificial intelligence (AI) is fundamentally reshaping organizational practices, making digital innovation a crucial source of competitive advantage for enterprises. However, scholarly research on the impact of co-intelligence on digital innovation, as well as the mediating roles of knowledge digitization and human-AI collaborative knowledge innovation, remains underdeveloped. To address this gap, this study surveyed 282 Chinese enterprises that implement AI scenario applications. Employing the partial least squares structural equation modeling (PLS-SEM) approach, we investigated how co-intelligence enhances digital innovation, with a specific focus on the mediating effects of knowledge digitization and human–AI collaborative knowledge innovation. The analysis reveals three key findings: (1) Co-intelligence has a significant positive effect on digital innovation. (2) The relationship between co-intelligence and digital innovation is mediated by knowledge digitization and human–AI collaborative knowledge innovation. (3) These two mediators form a significant chain mediation pathway between co-intelligence and digital innovation. Theoretically, this study elucidates the influence mechanism of co-intelligence on digital innovation through a chain-mediated model. Practically, it provides managers with insights for leveraging co-intelligence and refining knowledge management practices to advance digital innovation, offering a foundation for effectively using AI to drive innovation.",,
