eid,doi,year,authors,first_author,title,journal,issn,eissn,volume,pages,citedby,openaccess,authkeywords,abstract,ajg2024,ajg_field,screen_decision,screen_reason,screen_notes
2-s2.0-84975795391,10.1007/s40171-015-0115-z,2016,Singh L.P.; Challa R.T.,Singh L.P.,Integrated Forecasting Using the Discrete Wavelet Theory and Artificial Intelligence Techniques to Reduce the Bullwhip Effect in a Supply Chain,Global Journal of Flexible Systems Management,09722696,09740198,17,157-169,30,0,Artificial neural network | Bullwhip effect | Discrete wavelet theory | Fuzzy inference system | Net stock amplification | Supplies chain flexibility,"To enhance the commercial competitive advantage of a firm in a constantly changing business environment, it is very important to enhance the supply chain performance by making it more flexible to adopt any type of changes in dynamic business environment. To improve the supply chain performance and make it more flexible it is essential to control the order amplification or bullwhip effect (BWE) through various stages of supply chain and control the inventory costs by controlling net stock amplification (NSA). These tasks should be done by using accurate demand forecasting. The current study demonstrates a forecasting methodology about nonlinear customer demand in a multilevel supply chain (SC) structure through; integrated techniques of discrete wavelet theory and artificial intelligence techniques including artificial neural networks and adaptive network-based fuzzy inference system. The effectiveness of forecasting models to deal with nonlinear data and how they improved the flexibility of SC is demonstrated by calculating BWE and NSA for real world data.",2,ETHICS-CSR-MAN,exclude,E3,forecasting methodology demo; firms do not invest in AI
2-s2.0-85069803699,10.1016/j.dss.2019.113097,2019,Vo N.N.Y.; He X.; Liu S.; Xu G.,Vo N.N.Y.,Deep learning for decision making and the optimization of socially responsible investments and portfolio,Decision Support Systems,01679236,,124,,153,2,Decision support systems | Deep reinforcement learning | Multivariate analytics | Portfolio optimization | Socially responsible investment,"A socially responsible investment portfolio takes into consideration the environmental, social and governance aspects of companies. It has become an emerging topic for both financial investors and researchers recently. Traditional investment and portfolio theories, which are used for the optimization of financial investment portfolios, are inadequate for decision-making and the construction of an optimized socially responsible investment portfolio. In response to this problem, we introduced a Deep Responsible Investment Portfolio (DRIP) model that contains a Multivariate Bidirectional Long Short-Term Memory neural network, to predict stock returns for the construction of a socially responsible investment portfolio. The deep reinforcement learning technique was adapted to retrain neural networks and rebalance the portfolio periodically. Our empirical data revealed that the DRIP framework could achieve competitive financial performance and better social impact compared to traditional portfolio models, sustainable indexes and funds.",3,INFO MAN,exclude,E3,deep learning as portfolio optimization method
2-s2.0-85063620746,10.1016/j.ijinfomgt.2019.03.011,2020,Gloor P.; Fronzetti Colladon A.; de Oliveira J.M.; Rovelli P.,Gloor P.,Put your money where your mouth is: Using deep learning to identify consumer tribes from word usage,International Journal of Information Management,02684012,,51,,32,1,Marketing | Social network analysis | Text mining | Twitter | Virtual tribes,"Internet and social media offer firms novel ways of managing their marketing strategy and gain competitive advantage. The groups of users expressing themselves on the Internet about a particular topic, product, or brand are frequently called a virtual tribe or E-tribe. However, there are no automatic tools for identifying and studying the characteristics of these virtual tribes. Towards this aim, this paper presents Tribefinder, a system to reveal Twitter users’ tribal affiliations, by analyzing their tweets and language use. To show the potential of this instrument, we provide an example considering three specific tribal macro-categories: alternative realities, lifestyle, and recreation. In addition, we discuss the different characteristics of each identified tribe, in terms of use of language and social interaction metrics. Tribefinder illustrates the importance of adopting a new lens for studying virtual tribes, which is crucial for firms to properly design their marketing strategy, and for scholars to extend prior marketing research.",2,INFO MAN,exclude,E3,deep learning tool (Tribefinder) to classify consumer tribes
2-s2.0-85077530115,10.1007/s10551-019-04407-1,2020,Munoko I.; Brown-Liburd H.L.; Vasarhelyi M.,Munoko I.,The Ethical Implications of Using Artificial Intelligence in Auditing,Journal of Business Ethics,01674544,15730697,167,209-234,451,0,Artificial intelligence | Audit | Ethics,"Accounting firms are reporting the use of Artificial Intelligence (AI) in their auditing and advisory functions, citing benefits such as time savings, faster data analysis, increased levels of accuracy, more in-depth insight into business processes, and enhanced client service. AI, an emerging technology that aims to mimic the cognitive skills and judgment of humans, promises competitive advantages to the adopter. As a result, all the Big 4 firms are reporting its use and their plans to continue with this innovation in areas such as audit planning risk assessments, tests of transactions, analytics, and the preparation of audit work-papers, among other uses. As the uses and benefits of AI continue to emerge within the auditing profession, there is a gradual awakening to the fact that unintended consequences may also arise. Thus, we heed to the call of numerous researchers to not only explore the benefits of AI but also investigate the ethical implications of the use of this emerging technology. By combining two futuristic ethical frameworks, we forecast the ethical implications of the use of AI in auditing, given its inherent features, nature, and intended functions. We provide a conceptual analysis of the practical ethical and social issues surrounding AI, using past studies as well as our inferences based on the reported use of the technology by auditing firms. Beyond the exploration of these issues, we also discuss the responsibility for the policy and governance of emerging technology.",3,ETHICS-CSR-MAN,exclude,E1,"conceptual ethics analysis (own wording), no empirical firm data"
2-s2.0-85084434769,10.1108/BPMJ-10-2019-0411,2020,Wamba-Taguimdje S.L.; Fosso Wamba S.; Kala Kamdjoug J.R.; Tchatchouang Wanko C.E.,Wamba-Taguimdje S.L.,Influence of artificial intelligence (AI) on firm performance: the business value of AI-based transformation projects,Business Process Management Journal,14637154,,26,1893-1924,1034,0,Artificial intelligence | Business value | Cases studies | Firm performance | Process innovation,"Purpose: The main purpose of our study is to analyze the influence of Artificial Intelligence (AI) on firm performance, notably by building on the business value of AI-based transformation projects. This study was conducted using a four-step sequential approach: (1) analysis of AI and AI concepts/technologies; (2) in-depth exploration of case studies from a great number of industrial sectors; (3) data collection from the databases (websites) of AI-based solution providers; and (4) a review of AI literature to identify their impact on the performance of organizations while highlighting the business value of AI-enabled projects transformation within organizations. Design/methodology/approach: This study has called on the theory of IT capabilities to seize the influence of AI business value on firm performance (at the organizational and process levels). The research process (responding to the research question, making discussions, interpretations and comparisons, and formulating recommendations) was based on a review of 500 case studies from IBM, AWS, Cloudera, Nvidia, Conversica, Universal Robots websites, etc. Studying the influence of AI on the performance of organizations, and more specifically, of the business value of such organizations’ AI-enabled transformation projects, required us to make an archival data analysis following the three steps, namely the conceptual phase, the refinement and development phase, and the assessment phase. Findings: AI covers a wide range of technologies, including machine translation, chatbots and self-learning algorithms, all of which can allow individuals to better understand their environment and act accordingly. Organizations have been adopting AI technological innovations with a view to adapting to or disrupting their ecosystem while developing and optimizing their strategic and competitive advantages. AI fully expresses its potential through its ability to optimize existing processes and improve automation, information and transformation effects, but also to detect, predict and interact with humans. Thus, the results of our study have highlighted such AI benefits in organizations, and more specifically, its ability to improve on performance at both the organizational (financial, marketing and administrative) and process levels. By building on these AI attributes, organizations can, therefore, enhance the business value of their transformed projects. The same results also showed that organizations achieve performance through AI capabilities only when they use their features/technologies to reconfigure their processes. Research limitations/implications: AI obviously influences the way businesses are done today. Therefore, practitioners and researchers need to consider AI as a valuable support or even a pilot for a new business model. For the purpose of our study, we adopted a research framework geared toward a more inclusive and comprehensive approach so as to better account for the intangible benefits of AI within organizations. In terms of interest, this study nurtures a scientific interest, which aims at proposing a model for analyzing the influence of AI on the performance of organizations, and at the same time, filling the associated gap in the literature. As for the managerial interest, our study aims to provide managers with elements to be reconfigured or added in order to take advantage of the full benefits of AI, and therefore improve organizations’ performance, the profitability of their investments in AI transformation projects, and some competitive advantage. This study also allows managers to consider AI not as a single technology but as a set/combination of several different configurations of IT in the various company’s business areas because multiple key elements must be brought together to ensure the success of AI: data, talent mix, domain knowledge, key decisions, external partnerships and scalable infrastructure. Originality/value: This article analyses case studies on the reuse of secondary data from AI deployment reports in organizations. The transformation of projects based on the use of AI focuses mainly on business process innovations and indirectly on those occurring at the organizational level. Thus, 500 case studies are being examined to provide significant and tangible evidence about the business value of AI-based projects and the impact of AI on firm performance. More specifically, this article, through these case studies, exposes the influence of AI at both the organizational and process performance levels, while considering it not as a single technology but as a set/combination of the several different configurations of IT in various industries.",2,OPS&TECH,include,,FULL-TEXT VERDICT: include. Archival analysis of ~500 vendor-website mini-cases (IBM/AWS/etc.) confirmed - empirical but promotional success-story data; CODE AS LOW-RIGOR QUALITATIVE EVIDENCE (selection bias)
2-s2.0-85114994435,10.1016/j.indmarman.2021.09.003,2021,Baabdullah A.M.; Alalwan A.A.; Slade E.L.; Raman R.; Khatatneh K.F.,Baabdullah A.M.,SMEs and artificial intelligence (AI): Antecedents and consequences of AI-based B2B practices,Industrial Marketing Management,00198501,,98,255-270,191,2,AI | AI enablers | AI readiness | B2B | Customer AI-based interaction | SMEs,"Development of small and medium enterprises (SMEs) is a key approach to achieving economic growth in the Middle East and successful adoption of technology is vital for SMEs' success and continuity. Artificial intelligence (AI) is part of a new generation of technologies that can facilitate competitive advantage but currently there is a lack of evidence regarding AI applications in relation to B2B SMEs in Middle East countries. Therefore, this study empirically examines antecedents to, and consequences of, successful acceptance of AI practices by B2B SMEs in Saudi Arabia. A conceptual model based on the technology-organisation-environment framework is developed which considers the impact of AI enablers and AI readiness on the acceptance of AI practices, and the impact of this on relational governance, performance, and SMEs' AI-based business customer interaction. The conceptual model was tested using structural equation modelling of survey data collected from B2B SMEs (n = 392). The results showed that, of the AI enablers, acceptance of AI practices was significantly influenced by both technology roadmapping and attitude but not professional expertise. Of the AI readiness variables, acceptance of AI practices was significantly influenced by infrastructure and awareness but not technicality. The acceptance of AI practices was found to significantly affect AI-enabled relational governance and performance, and SME's business customer AI-based interaction. This study provides a broader base for theoretical and practical understanding of issues related to AI practices in SMEs and the B2B sector in general.",3,MKT,include,,"AI adoption antecedents/consequences in B2B SMEs, SEM n=392, performance outcome"
2-s2.0-85111595849,10.1016/j.indmarman.2021.07.013,2021,Chatterjee S.; Rana N.P.; Tamilmani K.; Sharma A.,Chatterjee S.,The effect of AI-based CRM on organization performance and competitive advantage: An empirical analysis in the B2B context,Industrial Marketing Management,00198501,,97,205-219,229,2,AI-CRM | B2B | Competitive advantage | Institutional theory | Organization performance | RBV,"Organizations have cultural-cognitive and regulative as well as normative elements that impact their employees. Organizations, by definition, cannot achieve a pure, stable state and always go through various change processes, both incremental and radical changes. Moving from legacy business-to-business (B2B) relationship management to an artificial intelligence-based customer relationship management (AI-CRM) is a gradual but paradigm change. AI-CRM leverages intelligent systems to automate the B2B relationship activities where the decision can be taken automatically without any human intervention. Relationship management in the B2B segment is considered a strategic activity of an organization. Moving from legacy to AI-CRM to facilitate B2B relationship management activities is an important decision, and proper implementation of AI-CRM is a critical success parameter for an organization. This study combines institutional theory and the resource-based view (RBV) in B2B relationship management to understand how AI-CRM could impact the firm's performance with varied firm size, firm age, and industry type.",3,MKT,include,,"AI-CRM -> org performance and competitive advantage, empirical B2B"
2-s2.0-85092010224,10.1016/j.jbusres.2020.09.013,2021,De Carlo M.; Ferilli G.; d'Angella F.; Buscema M.,De Carlo M.,Artificial intelligence to design collaborative strategy: An application to urban destinations,Journal of Business Research,01482963,,129,936-948,38,0,Artificial neural networks (ANN) | Auto-contractive map (Auto-CM) | Collaboration | Strategy design | Tourism destination,"Organisations currently compete within contexts that require collaboration with other players (suppliers, customers, competitors), which is central to achieving sustainable competitive advantages. This new perspective, which is centred on relationships, has changed the way companies design and implement their competitive strategies, while also challenging traditional tools of strategy analysis. Artificial intelligence, particularly artificial neural networks, can help address these challenges. This paper proposes an innovative application of the Auto-Contractive Map method, which is a deep non-supervised Artificial Neural Network algorithm that has already been widely applied to bio-medical, security, insurance, and financial studies, but has not yet been used in the domains of tourism and strategy. Our study demonstrates the effectiveness of this method, compared to other methods that have been applied to tourism studies. This method successfully addresses issues in the complex and dynamic competitive settings of tourism destinations, which are characterised by the inclusion of many stakeholders. Specifically, the Auto-Contractive Map method allows both scholars and practitioners to significantly advance formulations of collaborative strategies in a destination, at three levels: (i) defining priority areas of action, (ii) identifying relevant stakeholders and governance levels that have control over these areas, and (iii) profiling key features of the destination's positioning, compared with its competitors.",3,ETHICS-CSR-MAN,exclude,E3,neural network (Auto-Contractive Map) as strategy-design tool
2-s2.0-85106508009,10.1007/s40171-021-00272-y,2021,Johnson M.; Jain R.; Brennan-Tonetta P.; Swartz E.; Silver D.; Paolini J.; Mamonov S.; Hill C.,Johnson M.,Impact of Big Data and Artificial Intelligence on Industry: Developing a Workforce Roadmap for a Data Driven Economy,Global Journal of Flexible Systems Management,09722696,09740198,22,197-217,156,0,Analytics curriculum | Artificial Intelligence | Big Data | Workforce,"Big Data and Artificial Intelligence (BD&AI) have become so pervasive, and the opportunities they present so transformative, that they are viewed as essential for competitive growth. Since the number of firms adopting BD&AI technologies is growing exponentially, the demand for BD&AI practitioners is also growing at a rapid rate. However, several studies indicate that there is a BD&AI talent shortage and skills gap between labor market requirements and expertise available in the current workforce. This talent shortage and skills gap are now recognized as a crucial impediment in leveraging BD&AI for economic growth at the local, national, and global levels. This research aims to identify BD&AI workforce trends, gaps, and opportunities by using bibliometric analysis and extracting insights from job posting data. The study team first conducted bibliometric research and built word co-occurrence diagrams using BD&AI related articles published in high-impact journals to determine technological changes impacting various industry domains. The team then collected job postings data and summarized the skill sets required to be competitive in industries driven by BD&AI. Finally, the study team evaluated the curricula of BD&AI programs at various colleges and universities educating the future workforce and conducted a SWOT (Strengths, Weaknesses, Opportunities, and Threats) analysis to bridge the gaps between industry needs and academic training. This multi-step research framework forecasts oncoming technological changes in various industry clusters, workforce skills that are and will be needed, and provides recommendations for a workforce development roadmap so that businesses can gain a competitive advantage through the use of BD&AI.",2,ETHICS-CSR-MAN,exclude,E2,"workforce/economy level (bibliometrics + job postings), no firm-level outcome"
2-s2.0-85100304105,10.3846/jbem.2020.13641,2021,Ruiz-Real J.L.; Uribe-Toril J.; Torres J.A.; Pablo J.D.E.,Ruiz-Real J.L.,Artificial intelligence in business and economics research: Trends and future,Journal of Business Economics and Management,16111699,20294433,22,98-117,123,1,Artificial intelligence | Bibliometrics | Business | Decision-making | Economics | Research trends,"Artificial Intelligence is a disruptive technology developed during the 20th century, which has undergone an accelerated evolution, underpinning solutions to complex problems in the business world. Neural Networks, Machine Learning, or Deep Learning are concepts currently associated with terms such as digital marketing, decision making, industry 4.0 and business digital transformation. Interest in this technology will increase as the competitive advantages of the use of Artificial Intelligence by economic entities is realised. The aim of this research is to analyse the state-of-the-art research of Artificial Intelligence in business. To this end, a bibliometric analysis has been implement using the Web of Science and Scopus online databases. By using a fractional counting method, this paper identifies 11 clusters and the most frequent terms used in Artificial Intelligence research. The present study identifies the main trends in research on Artificial Intelligence in business and proposes future lines of inquiry.",2,IB&AREA,exclude,E1,"bibliometric review, not primary empirical"
